Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Línea / Batería;Número de Plazas;Texto Cajetines
08.10;441183,15;4481562,49;06-02-15;08  FUENCARRAL-EL PARDO;08-05 LA PAZ;JULIO PALACIOS, CALLE, DE;23;Taxi;Batería;2;De Lunes a Viernes
08.11;439484,59;4482319,65;17-03-05;08  FUENCARRAL-EL PARDO;08-07 MIRASIERRA;MASO, CALLE, DE LA;83;Taxi;Línea;4;
08.13;441588,31;4482516,83;15-12-10;08  FUENCARRAL-EL PARDO;08-06 VALVERDE;CARDENAL HERRERA ORIA, AVENIDA, DEL;78 C;Taxi;Línea;3;
08.14 a;440553,04;4482918,89;19-01-07;08  FUENCARRAL-EL PARDO;08-07 MIRASIERRA;COSTA BRAVA, CALLE, DE LA;13;Taxi;Línea;6;
08.14 b;440609,71;4482894,14;01-07-10;08  FUENCARRAL-EL PARDO;08-07 MIRASIERRA;COSTA BRAVA, CALLE, DE LA;S/N;Taxi;Línea;9;
08.16;439015,73;4481014,83;23-03-05;08  FUENCARRAL-EL PARDO;08-03 PEÑAGRANDE;SANTIAGO DE COMPOSTELA, CALLE, DE;94;Taxi;Línea;3;
08.17;437044,29;4480715,98;01-07-10;08  FUENCARRAL-EL PARDO;08-02 FUENTELARREINA;ARROYOFRESNO, CALLE, DE;FTE 17;Taxi;Línea;5;
08.18;439263,03;4482065,61;18-03-05;08  FUENCARRAL-EL PARDO;08-07 MIRASIERRA;VENTISQUERO DE LA CONDESA, AVENIDA, DEL;11;Taxi;Línea;2;
08.19 a;440211,66;4481167,4;22-01-15;08  FUENCARRAL-EL PARDO;08-04 EL PILAR;MONFORTE DE LEMOS, AVENIDA, DE;S/N;Taxi;Línea;3;
08.19 b;440243,42;4481175,93;11-04-03;08  FUENCARRAL-EL PARDO;08-04 EL PILAR;MONFORTE DE LEMOS, AVENIDA, DE;101;Taxi;Línea;3;
08.20;439668,83;4481024,37;30-01-15;08  FUENCARRAL-EL PARDO;08-04 EL PILAR;MONFORTE DE LEMOS, AVENIDA, DE;133;Taxi;Línea;1;
08.21 a;439224,39;4482822,05;18-03-05;08  FUENCARRAL-EL PARDO;08-07 MIRASIERRA;VENTISQUERO DE LA CONDESA, AVENIDA, DEL;44;Taxi;Línea;4;
08.21 b;439233,85;4482807,34;22-01-15;08  FUENCARRAL-EL PARDO;08-07 MIRASIERRA;VENTISQUERO DE LA CONDESA, AVENIDA, DEL;44 A;Taxi;Línea;3;Laborables de Lunes a Viernes de 8 a 20 h.
08.23;441706,05;4482321,79;29-03-05;08  FUENCARRAL-EL PARDO;08-06 VALVERDE;XAUDARO, CALLE, DE;Fte 1;Taxi;Línea;4;
08.24;441151,37;4481969,02;01-07-10;08  FUENCARRAL-EL PARDO;08-06 VALVERDE;SAN MODESTO, CALLE, DE;S/N;Taxi;Línea;5;
08.25;443106,31;4485084,56;25-01-05;08  FUENCARRAL-EL PARDO;08-06 VALVERDE;ISABEL COLBRAND, CALLE, DE;4;Taxi;Batería;4;
08.26;440790,96;4482046,75;10-09-02;08  FUENCARRAL-EL PARDO;08-05 LA PAZ;SANGENJO, CALLE, DE;34;Taxi;Línea;3;
08.27;440335,63;4482009,33;22-03-05;08  FUENCARRAL-EL PARDO;08-05 LA PAZ;ALFREDO MARQUERIE, CALLE, DE;43;Taxi;Línea;1;
08.28 a;440966,72;4482215,19;18-12-12;08  FUENCARRAL-EL PARDO;08-06 VALVERDE;SAN MODESTO, CALLE, DE;S/N;Taxi;Línea;9;
08.28 b;440965,34;4482163,28;18-12-12;08  FUENCARRAL-EL PARDO;08-06 VALVERDE;SAN MODESTO, CALLE, DE;S/N;Taxi;Línea;14;De Lunes a Viernes de 8 a 15 h.
08.29;441775,4;4482242,12;15-12-10;08  FUENCARRAL-EL PARDO;08-06 VALVERDE;VALDEGOVIA, CALLE, DE;10;Taxi;Línea;5;
08.30;442730,01;4484873,01;02-01-06;08  FUENCARRAL-EL PARDO;08-06 VALVERDE;MARIA TUBAU, CALLE, DE;16;Taxi;Batería;4;
08.33;441803,24;4481220,87;17-10-07;08  FUENCARRAL-EL PARDO;08-05 LA PAZ;ARZOBISPO MORCILLO, CALLE, DEL;S/N;Taxi;Línea;7;
08.34 ;443157,61;4484303,93;07-04-09;08  FUENCARRAL-EL PARDO;08-06 VALVERDE;CAMINO DE SANTIAGO, AVENIDA, DEL;46;Taxi;Línea;11;
08.35 a;441786,92;4480915,86;07-04-09;08  FUENCARRAL-EL PARDO;08-05 LA PAZ;CASTELLANA, PASEO, DE LA;259;Taxi;Línea;14;
08.35 b;441804,23;4480993,83;21-01-15;08  FUENCARRAL-EL PARDO;08-05 LA PAZ;CASTELLANA, PASEO, DE LA;259;Taxi;Línea;8;De lunes a viernes de 9 a 14 h
08.36;442455,73;4484558,16;01-07-10;08  FUENCARRAL-EL PARDO;08-06 VALVERDE;ISABEL COLBRAND, CALLE, DE;22;Taxi;Línea;7;
08.37;441086,51;4484099,91;10-09-12;08  FUENCARRAL-EL PARDO;08-08 EL GOLOSO;MONASTERIO DE SILOS, AVENIDA, DEL;63;Taxi;Línea;4;
08.38;443827,86;4485260,8;02-07-10;08  FUENCARRAL-EL PARDO;08-06 VALVERDE;COMUNICACION, RONDA, DE LA;Fte 20;Taxi;Línea;10;
08.39;443779,31;4484893,69;23-12-13;08  FUENCARRAL-EL PARDO;08-06 VALVERDE;COMUNICACION, RONDA, DE LA;36;Taxi;Batería;4;
08.40;439394,73;4482295,08;01-07-10;08  FUENCARRAL-EL PARDO;08-07 MIRASIERRA;MASO, CALLE, DE LA;38;Taxi;Línea;4;
08.41;439962,15;4481130,33;06-02-15;08  FUENCARRAL-EL PARDO;08-04 EL PILAR;MONFORTE DE LEMOS, AVENIDA, DE;34;Taxi;Línea;3;
08.43;443292,76;4483326,93;05-06-12;08  FUENCARRAL-EL PARDO;08-06 VALVERDE;QUINTANAVIDES, CALLE, DE;23;Taxi;Línea;5;
08.45;440843,17;4484002,4;30-01-15;08  FUENCARRAL-EL PARDO;08-08 EL GOLOSO;MONASTERIO DE EL ESCORIAL, AVENIDA, DEL;S/N;Taxi;Batería;5;
08.46;440421,64;4481214,17;07-05-12;08  FUENCARRAL-EL PARDO;08-05 LA PAZ;MONFORTE DE LEMOS, AVENIDA, DE;85;Taxi;Batería;3;De Lunes a Viernes de 8 a 19 h.
08.47;444011,11;4485082,11;27-09-12;08  FUENCARRAL-EL PARDO;08-06 VALVERDE;COMUNICACION, RONDA, DE LA;S/N;Taxi;Línea;5;
08.48;442836,39;4482805,36;19-06-18;08  FUENCARRAL-EL PARDO;08-06 VALVERDE;FUENCARRAL A HORTALEZA, CARRETERA, DE;8;Taxi;Batería;5;
08.49;443787,81;4483706,77;28-06-13;08  FUENCARRAL-EL PARDO;08-06 VALVERDE;ABETAL, CALLE, DEL;8;Taxi;Línea;7;
08.50 a;443865,59;4483563,41;28-06-13;08  FUENCARRAL-EL PARDO;08-06 VALVERDE;ABETAL, CALLE, DEL;S/N;Taxi;Línea;7;
08.50 b;443883,52;4483530,43;28-06-13;08  FUENCARRAL-EL PARDO;08-06 VALVERDE;ABETAL, CALLE, DEL;S/N;Taxi;Línea;5;
08.51;443099,35;4484239,63;20-04-17;08  FUENCARRAL-EL PARDO;08-06 VALVERDE;CAMINO DE SANTIAGO, AVENIDA, DEL;42;Taxi;Línea;2;
08.52;441480,16;4483568,24;01-06-17;08  FUENCARRAL-EL PARDO;08-06 VALVERDE;TRES OLIVOS, PLAZA, DE LOS;1;Taxi;Línea;2;
09.01;439426,33;4475445,41;01-06-12;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;PRINCESA, CALLE, DE LA;27;Taxi;Línea;8;
09.02 a;439081,67;4476802,51;02-12-95;09  MONCLOA-ARAVACA;09-03 CIUDAD UNIVERSITARIA;DOCTOR JIMENEZ DIAZ, CALLE, DEL;S/N;Taxi;Línea;5;
09.02 b;439057,31;4476806,33;14-02-07;09  MONCLOA-ARAVACA;09-03 CIUDAD UNIVERSITARIA;DOCTOR JIMENEZ DIAZ, CALLE, DEL;S/N;Taxi;Línea;7;
09.02 c;438995,81;4476767,89;18-03-11;09  MONCLOA-ARAVACA;09-03 CIUDAD UNIVERSITARIA;DOCTOR JIMENEZ DIAZ, CALLE, DEL;2;Taxi;Línea;17;Laborables de 8 a 14 h.
09.03;439171,8;4475503,8;01-01-00;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;QUINTANA, CALLE, DE;9;Taxi;Línea;2;
09.04;439220,16;4475826,61;15-04-11;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;PRINCESA, CALLE, DE LA;57;Taxi;Línea;6;
09.05;438789,56;4474779,08;15-06-12;09  MONCLOA-ARAVACA;09-01 CASA DE CAMPO;FLORIDA, PASEO, DE LA;13;Taxi;Línea;4;
09.07;435424,71;4473390,28;17-03-05;09  MONCLOA-ARAVACA;09-01 CASA DE CAMPO;ZOO, CARRETERA, DEL;3;Taxi;Línea;4;
09.08;439009,38;4479976,38;10-07-96;09  MONCLOA-ARAVACA;09-04 VALDEZARZA;ANTONIO MACHADO, CALLE, DE;53;Taxi;Línea;4;
09.10;433905,39;4479013,83;11-04-08;09  MONCLOA-ARAVACA;09-07 ARAVACA;TEJADILLO, CALLE, DEL;13;Taxi;Línea;7;
09.11 a;433422,23;4478995,61;22-03-05;09  MONCLOA-ARAVACA;09-07 ARAVACA;GALAXIA, AVENIDA, DE LA;1;Taxi;Línea;5;
09.11 b;433422,56;4478970,17;22-03-05;09  MONCLOA-ARAVACA;09-07 ARAVACA;GALAXIA, AVENIDA, DE LA;3;Taxi;Línea;3;
09.12;438999,48;4476812,83;01-01-00;09  MONCLOA-ARAVACA;09-03 CIUDAD UNIVERSITARIA;PROFESOR MARTIN LAGOS, CALLE, DEL;2;Taxi;Línea;14;
09.13;438348,14;4479756,65;11-09-06;09  MONCLOA-ARAVACA;09-03 CIUDAD UNIVERSITARIA;SAN MARTIN DE PORRES, CALLE, DE;4;Taxi;Batería;11;
09.16;438941,51;4476256,32;03-08-95;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;MORET, PASEO, DE;S/N;Taxi;Línea;10;
09.17 a;437762,97;4476108,96;27-05-99;09  MONCLOA-ARAVACA;09-01 CASA DE CAMPO;VALLADOLID, AVENIDA, DE;83;Taxi;Línea;3;
09.17 b;437796,64;4476057,06;22-01-15;09  MONCLOA-ARAVACA;09-01 CASA DE CAMPO;VALLADOLID, AVENIDA, DE;81;Taxi;Línea;3;Laborables de Lunes a Viernes de 8 a 14 h.
09.18;439900,39;4479235,14;27-05-99;09  MONCLOA-ARAVACA;09-04 VALDEZARZA;OFELIA NIETO, CALLE, DE;61 B;Taxi;Línea;4;
09.19;436317,96;4473922,84;18-03-05;09  MONCLOA-ARAVACA;09-01 CASA DE CAMPO;ALBERGUE JUVENIL, CARRETERA, DEL;S/N;Taxi;Línea;9;
09.22;438710,68;4477179,88;13-08-98;09  MONCLOA-ARAVACA;09-03 CIUDAD UNIVERSITARIA;DOCTOR SEVERO OCHOA, CALLE, DEL;5;Taxi;Línea;6;
09.25;433435,76;4479629,75;17-03-05;09  MONCLOA-ARAVACA;09-05 VALDEMARÍN;ZARZUELA, CAMINO, DE LA;3;Taxi;Línea;3;
09.26;432014,42;4479886,84;17-03-05;09  MONCLOA-ARAVACA;09-06 EL PLANTÍO;MUSGO, CALLE, DEL;2;Taxi;Línea;5;
09.28;437999,1;4474098,36;30-11-04;09  MONCLOA-ARAVACA;09-01 CASA DE CAMPO;PUERTA DEL ANGEL, PASEO, DE LA;3;Taxi;Línea;2;
09.29;438854,23;4474673,41;01-06-90;09  MONCLOA-ARAVACA;09-01 CASA DE CAMPO;SAN VICENTE, GLORIETA, DE;1;Taxi;Línea;6;De 6 a 24 h.
09.31;439153,53;4479377,7;29-05-13;09  MONCLOA-ARAVACA;09-04 VALDEZARZA;ALCALDE MARTIN DE ALZAGA, CALLE, DEL;9;Taxi;Batería;3;De Lunes a Viernes de 8 a 20 h.
09.32;439184,66;4477703,69;06-06-95;09  MONCLOA-ARAVACA;09-03 CIUDAD UNIVERSITARIA;JUAN XXIII, PASEO, DE;22;Taxi;Línea;10;
09.33;439700,86;4479482,5;30-01-15;09  MONCLOA-ARAVACA;09-04 VALDEZARZA;AZUAGA, CALLE, DE;42;Taxi;Batería;2;
09.37;437486,17;4474103,13;31-07-18;09  MONCLOA-ARAVACA;09-01 CASA DE CAMPO;FERIAL, CALLE, DEL;S/N;Taxi;Línea;5;
10.01;434450,49;4469946,17;16-12-04;10  LATINA;10-07 ÁGUILAS;BLAS CABRERA, CALLE, DE;54;Taxi;Línea;2;
10.02;435897,59;4471519;30-01-15;10  LATINA;10-04 ALUCHE;ILLESCAS, CALLE, DE;S/N;Taxi;Línea;2;
10.03;434811,22;4471842,39;22-01-19;10  LATINA;10-04 ALUCHE;PADRE PIQUER, AVENIDA, DEL;9;Taxi;Línea;6;
10.04;438211,44;4473896,54;02-02-15;10  LATINA;10-02 PUERTA DEL ÁNGEL;ANTILLON, CALLE, DE;2;Taxi;Línea;2;
10.05;435166,29;4471926,78;16-12-04;10  LATINA;10-04 ALUCHE;ILLESCAS, CALLE, DE;59;Taxi;Línea;4;
10.07;433488,35;4470654,71;30-01-15;10  LATINA;10-07 ÁGUILAS;FUENTE DE LIMA, CALLE, DE LA;3;Taxi;Línea;2;
10.08;434636,4;4470136,13;01-07-10;10  LATINA;10-07 ÁGUILAS;JOSE DE CADALSO, CALLE, DE;S/N;Taxi;Línea;3;
10.11;437367,41;4473645,85;05-08-09;10  LATINA;10-02 PUERTA DEL ÁNGEL;PORTUGAL, AVENIDA, DE;155;Taxi;Línea;2;
10.13;435382,44;4470814,41;24-11-05;10  LATINA;10-04 ALUCHE;POBLADOS, AVENIDA, DE LOS;41;Taxi;Línea;5;
10.18;436735,03;4472959,61;08-02-11;10  LATINA;10-03 LUCERO;CEBREROS, CALLE, DE;Fte 40;Taxi;Línea;4;
10.20 a;436056,36;4473109,71;01-02-02;10  LATINA;10-03 LUCERO;VILLAMANIN, CALLE, DE;48;Taxi;Línea;4;
10.20 b;436056,58;4473078,77;10-12-04;10  LATINA;10-03 LUCERO;VILLAMANIN, CALLE, DE;39;Taxi;Línea;2;
10.23;433769,17;4470110,14;02-02-15;10  LATINA;10-07 ÁGUILAS;MIRABEL, CALLE, DE;19;Taxi;Línea;2;
11.01;439945,82;4471729,45;27-05-07;11  CARABANCHEL;11-01 COMILLA;ANTONIO LOPEZ, CALLE, DE;65;Taxi;Línea;3;
11.02;436557,36;4469367,49;13-12-10;11  CARABANCHEL;11-06 BUENAVISTA;GUAYABA, CALLE, DE LA;1;Taxi;Línea;7;
11.03;439082,21;4470802,95;21-12-04;11  CARABANCHEL;11-02 OPAÑEL;ELÍPTICA, PLAZA;5;Taxi;Línea;4;
11.04;437636,95;4472234,1;13-12-04;11  CARABANCHEL;11-03 SAN ISIDRO;VIA CARPETANA, CALLE;53;Taxi;Línea;3;
11.05;436837,62;4471086,78;15-12-04;11  CARABANCHEL;11-04 VISTA ALEGRE;OCA, CALLE, DE LA;103;Taxi;Línea;4;
11.06;439236,01;4472112,78;10-03-10;11  CARABANCHEL;11-02 OPAÑEL;MARQUES DE VADILLO, GLORIETA, DEL;5;Taxi;Línea;3;
11.08;438554,35;4470785,46;01-07-14;11  CARABANCHEL;11-07 ABRANTES;OPORTO, AVENIDA, DE;27;Taxi;Línea;4;
11.12;435549,69;4469336,43;01-01-00;11  CARABANCHEL;11-06 BUENAVISTA;JOAQUIN TURINA, CALLE, DE;Fte 70;Taxi;Línea;3;DE LUNES A VIERNES LABORABLES DE 8 A 20H.
11.18;436044,59;4468248,78;14-12-05;11  CARABANCHEL;11-06 BUENAVISTA;PESETA, AVENIDA, DE LA;73B;Taxi;Línea;2;Laborables de Lunes a Viernes de 6 a 16 h.
11.19;438695,85;4472249,84;09-06-06;11  CARABANCHEL;11-03 SAN ISIDRO;COMUNEROS DE CASTILLA, CALLE, DE LOS;S/N;Taxi;Batería;2;
11.20;437162,12;4468370,38;01-06-09;11  CARABANCHEL;11-06 BUENAVISTA;CALDERILLA, CALLE, DE LA;22;Taxi;Línea;4;
11.21 a;437862,82;4471144,91;23-03-10;11  CARABANCHEL;11-04 VISTA ALEGRE;OCA, CALLE, DE LA;2 B;Taxi;Línea;2;
11.21 b;437854,61;4471149,44;03-02-15;11  CARABANCHEL;11-04 VISTA ALEGRE;OCA, CALLE, DE LA;4;Taxi;Línea;2;Laborables de Lunes a Viernes de 8 a 20 h.
12.05;440597,92;4471100,57;02-04-02;12  USERA;12-05 MOSCARDÓ;ANTONIO LOPEZ, CALLE, DE;174;Taxi;Línea;2;
12.08;440736,22;4469648,01;30-12-04;12  USERA;12-02 ORCASUR;ANDALUCIA, AVENIDA, DE;2;Taxi;Línea;6;
12.11;441210,33;4469672,77;01-07-10;12  USERA;12-03 SAN FERMÍN;SAN MARIO, CALLE, DE;S/N;Taxi;Línea;9;
12.12;441181,59;4469746,13;11-11-98;12  USERA;12-03 SAN FERMÍN;SAN MAXIMO, CALLE, DE;33;Taxi;Línea;8;
12.13;440877,34;4469725,21;01-07-10;12  USERA;12-02 ORCASUR;MALAGA, GLORIETA, DE;s/n;Taxi;Línea;6;
12.14;441760,48;4468870,38;26-04-17;12  USERA;12-03 SAN FERMÍN;PERALES, CAMINO, DE;146;Taxi;Línea;7;
12.15;441250,34;4469598,73;29-09-17;12  USERA;12-03 SAN FERMÍN;CARABELOS, CALLE, DE;21;Taxi;Batería;2;
12.16;440449,82;4471305,82;16-10-17;12  USERA;12-05 MOSCARDÓ;ANTONIO LOPEZ, CALLE, DE;111;Taxi;Línea;7;
13.01;443052,41;4470145,06;01-01-00;13  PUENTE DE VALLECAS;13-01 ENTREVÍAS;MANCHA, CALLE, DE LA;Fte 2;Taxi;Batería;8;
13.04;445160,8;4471295,19;01-01-00;13  PUENTE DE VALLECAS;13-05 PORTAZGO;SANTILLANA DEL MAR, CALLE, DE;9;Taxi;Línea;4;
13.05;443962,47;4472447,41;21-01-15;13  PUENTE DE VALLECAS;13-06 NUMANCIA;SIERRA TOLEDANA, CALLE, DE LA;13;Taxi;Línea;2;Laborables de Lunes a Viernes de 6 a 19 h.
13.08;443766,46;4470295,43;21-01-15;13  PUENTE DE VALLECAS;13-03 PALOMERAS BAJAS;PABLO NERUDA, AVENIDA, DE;95;Taxi;Línea;5;Laborables de Lunes a Viernes de 9 a 19 h.
13.15;443959,83;4471593,52;11-04-07;13  PUENTE DE VALLECAS;13-03 PALOMERAS BAJAS;SIERRA DE CADI, CALLE, DE LA;3;Taxi;Línea;6;
13.16;445770,88;4471100,79;17-01-15;13  PUENTE DE VALLECAS;13-04 PALOMERAS SURESTE;SAN CLAUDIO, CALLE, DE;154;Taxi;Batería;2;Laborables de Lunes a Viernes de 9 a 21 h.
13.17;444452,82;4471517,03;17-01-15;13  PUENTE DE VALLECAS;13-06 NUMANCIA;MONLEON, CALLE, DE;10;Taxi;Batería;3;Laborables de Lunes a Viernes de 9 a 21 h.
13.18;444637,46;4470323,35;27-11-13;13  PUENTE DE VALLECAS;13-05 PORTAZGO;PABLO NERUDA, AVENIDA, DE;116 H;Taxi;Línea;3;Laborables de Lunes a Viernes de 8 a 20 h.
13.19;445741,38;4470915,87;15-03-18;13  PUENTE DE VALLECAS;13-04 PALOMERAS SURESTE;ALBUFERA, AVENIDA, DE LA;S/N;Taxi;Línea;2;LABORABLES DE LUNES A VIERNES  DE 9:00 A 21:00 H
14.01;445025,95;4473364,95;09-02-05;14  MORATALAZ;14-03 MARROQUINA;CAMINO DE LOS VINATEROS, CALLE, DEL;103;Taxi;Línea;3;
14.02;445717,83;4472230,5;10-02-05;14  MORATALAZ;14-05 FONTARRÓN;ENCOMIENDA DE PALACIOS, CALLE, DE LA;187;Taxi;Línea;3;Laborables de Lunes a Viernes de a 6 a 19 h.
14.03;444365,96;4473561,96;03-02-05;14  MORATALAZ;14-04 MEDIA LEGUA;ARROYO DE LA MEDIA LEGUA, CALLE, DEL;29;Taxi;Línea;3;
14.04;446223,66;4472365,56;09-02-05;14  MORATALAZ;14-01 PAVONES;HACIENDA DE PAVONES, CALLE, DE LA;S/N;Taxi;Línea;4;Laborables de Lunes a Viernes de 6 a 19 h.
14.05;444087,8;4473142,94;01-01-00;14  MORATALAZ;14-05 FONTARRÓN;CORREGIDOR ALONSO DE AGUILAR, PLAZA, DEL;S/N;Taxi;Línea;3;De 17 a 3 h.
14.07;444821,65;4473037,58;03-02-15;14  MORATALAZ;14-03 MARROQUINA;MORATALAZ, AVENIDA, DE;117;Taxi;Línea;12;
14.08;446005,14;4473317,51;10-07-96;14  MORATALAZ;14-03 MARROQUINA;DOCTOR GARCIA TAPIA, AVENIDA, DEL;139;Taxi;Línea;4;
14.11;445550,44;4473425,65;28-07-15;14  MORATALAZ;14-03 MARROQUINA;MORATALAZ, AVENIDA, DE;201;Taxi;Batería;3;
15.01;445919,12;4476576,53;07-03-05;15  CIUDAD LINEAL;15-03 QUINTANA;ALCALA, CALLE, DE;419;Taxi;Línea;4;
15.02;445409,47;4476277,23;15-02-05;15  CIUDAD LINEAL;15-03 QUINTANA;ALCALA, CALLE, DE;375;Taxi;Línea;3;
15.03;444434,48;4475938,25;11-02-05;15  CIUDAD LINEAL;15-03 QUINTANA;ALCALA, CALLE, DE;279;Taxi;Línea;4;
15.05;444189,92;4475335,68;29-01-15;15  CIUDAD LINEAL;15-01 VENTAS;RICARDO ORTIZ, CALLE, DE;31;Taxi;Línea;3;Lunes a Viernes de 6 a 21 h.
15.06;444180,45;4476269,96;14-02-05;15  CIUDAD LINEAL;15-04 CONCEPCIÓN;VIRGEN DE LA ROCA, CALLE, DE LA;29;Taxi;Línea;4;
15.08;444360,35;4474913,62;11-02-05;15  CIUDAD LINEAL;15-01 VENTAS;MARQUES DE CORBERA, AVENIDA, DEL;3;Taxi;Línea;15;
15.09;444438,22;4477256,49;17-02-05;15  CIUDAD LINEAL;15-05 SAN PASCUAL;CONDESA DE VENADITO, CALLE, DE LA;3;Taxi;Línea;9;
15.10;445079,42;4476073,21;15-02-05;15  CIUDAD LINEAL;15-03 QUINTANA;ALCALA, CALLE, DE;339;Taxi;Línea;4;
15.11 a;443199,33;4481234,64;22-11-99;15  CIUDAD LINEAL;15-09 COSTILLARES;CONDADO DE TREVIÑO, CALLE, DEL;31 A;Taxi;Línea;6;
15.11 b;443236,96;4481250,88;28-05-01;15  CIUDAD LINEAL;15-09 COSTILLARES;CONDADO DE TREVIÑO, CALLE, DEL;31 B;Taxi;Línea;6;
15.13;443292,71;4480989,71;01-01-00;15  CIUDAD LINEAL;15-09 COSTILLARES;ARTURO SORIA, CALLE, DE;301;Taxi;Línea;3;
15.14;444275,76;4476800,4;17-02-05;15  CIUDAD LINEAL;15-05 SAN PASCUAL;SALVADOR DE MADARIAGA, CALLE, DE;11;Taxi;Línea;3;
15.16;444482,56;4478319,66;15-02-05;15  CIUDAD LINEAL;15-06 SAN JUAN BAUTISTA;ARTURO SORIA, CALLE, DE;143;Taxi;Línea;9;
15.17;444679,69;4477881,66;21-06-13;15  CIUDAD LINEAL;15-06 SAN JUAN BAUTISTA;RAMIREZ DE ARELLANO, CALLE, DE;1;Taxi;Línea;14;
15.18;443743,01;4479901,4;26-12-12;15  CIUDAD LINEAL;15-09 COSTILLARES;MESENA, CALLE, DE;102;Taxi;Línea;9;
15.22;443009,2;4480445,6;19-01-15;15  CIUDAD LINEAL;15-09 COSTILLARES;SERRANO GALVACHE, CALLE, DE;14;Taxi;Línea;2;
15.24;445578,35;4475889,8;14-02-05;15  CIUDAD LINEAL;15-02 PUEBLO NUEVO;EMILIO FERRARI, CALLE, DE;51;Taxi;Línea;5;Laborables de Lunes a Viernes de 6 a 21 h.
15.25;443124,95;4480839,66;13-05-13;15  CIUDAD LINEAL;15-09 COSTILLARES;YERMA, CALLE, DE;11;Taxi;Línea;7;Excepto Sabados y Festivos
15.27;444327,25;4475919,33;22-07-04;15  CIUDAD LINEAL;15-04 CONCEPCIÓN;ALCALA, CALLE, DE;269;Taxi;Línea;2;Laborables de Lunes a Viernes de 6 a 21 h.
15.28;443274,78;4480079,59;13-04-05;15  CIUDAD LINEAL;15-09 COSTILLARES;BAUSA, CALLE, DE LA;23;Taxi;Línea;3;
15.31;444423,31;4477638,68;12-12-08;15  CIUDAD LINEAL;15-06 SAN JUAN BAUTISTA;EMILIO VARGAS, CALLE, DE;3B;Taxi;Línea;3;
15.33;443472,63;4480140,67;03-05-11;15  CIUDAD LINEAL;15-09 COSTILLARES;ARTURO SORIA, CALLE, DE;270;Taxi;Línea;3;
15.34;444233,56;4477679,95;21-06-13;15  CIUDAD LINEAL;15-06 SAN JUAN BAUTISTA;RAMIREZ DE ARELLANO, CALLE, DE;27;Taxi;Línea;4;
16.01;446438,63;4479547,4;31-03-05;16  HORTALEZA;16-03 CANILLAS;MOTA DEL CUERVO, CALLE, DE;11;Taxi;Línea;3;Laborables de Lunes a Viernes de 6 a 21 h.
16.02;444812,73;4480195,53;31-03-05;16  HORTALEZA;16-04 PINAR DEL REY;BORJAS BLANCAS, CALLE, DE;6;Taxi;Línea;9;
16.03;444623,21;4479917,21;04-04-05;16  HORTALEZA;16-04 PINAR DEL REY;LOPEZ DE HOYOS, CALLE, DE;341;Taxi;Línea;3;
16.07;444132,75;4480890,02;31-03-05;16  HORTALEZA;16-05 APÓSTOL SANTIAGO;CUEVAS DEL ALMANZORA, CALLE, DE;Fte 18;Taxi;Línea;3;Laborables de Lunes a Viernes de 6 a 21 h.
16.08;445083,45;4479375,61;06-04-05;16  HORTALEZA;16-03 CANILLAS;CANILLAS, CARRETERA, DE;41;Taxi;Batería;2;Laborables de Lunes a Viernes de 6 a 21 h.
16.09;447989,14;4478201,34;06-04-05;16  HORTALEZA;16-01 PALOMAS;LUIS DE LA MATA, CALLE, DE;18;Taxi;Línea;3;Laborables de Lunes a Viernes de 6 a 21 h.
16.11;445296,9;4478697,56;07-04-06;16  HORTALEZA;16-02 PIOVERA;MOSCATELAR, CALLE, DE;34;Taxi;Línea;6;
16.12;447568,04;4478618,21;23-11-09;16  HORTALEZA;16-01 PALOMAS;ANDES, AVENIDA, DE LOS;50;Taxi;Línea;6;
16.15;445337,27;4484342,93;05-10-05;16  HORTALEZA;16-06 VALDEFUENTES;JULIO CARO BAROJA, CALLE, DE;4;Taxi;Línea;2;
16.19;443372,26;4481975,21;15-03-10;16  HORTALEZA;16-06 VALDEFUENTES;MANOTERAS, AVENIDA, DE;20 posterior;Taxi;Línea;5;
16.20;443300,79;4482192,04;16-03-10;16  HORTALEZA;16-06 VALDEFUENTES;MANOTERAS, AVENIDA, DE;20 A;Taxi;Línea;2;
16.21;444269,13;4482783,29;14-02-18;16  HORTALEZA;16-06 VALDEFUENTES;ANA DE AUSTRIA, CALLE, DE;26;Taxi;Línea;3;DE LUNES A VIERNES LABORABLES DE 9 A 19 HORAS
16.22;444447,32;4482420,87;21-09-17;16  HORTALEZA;16-06 VALDEFUENTES;PRINCESA DE EBOLI, CALLE, DE LA;S/N;Taxi;Línea;1;DE LUNES A VIERNES LABORABLES DE 6 H A 21 H
16.23;446541,92;4480437,95;15-04-11;16  HORTALEZA;16-06 VALDEFUENTES;TOMAS REDONDO, CALLE, DE;3;Taxi;Línea;3;
16.24;443847,52;4482630,45;16-12-12;16  HORTALEZA;16-06 VALDEFUENTES;FRANCISCO PI Y MARGALL, AVENIDA, DE;S/N;Taxi;Línea;7;
16.25;443518,81;4482268,34;30-12-11;16  HORTALEZA;16-06 VALDEFUENTES;OÑA, CALLE, DE;10;Taxi;Línea;3;
