2,09/02/2017 11:53:31 PM,09/02/2017 11:57:09 PM,4,0.58,1,N,48,48,1,4.5,0.5,0.5,1.16,0,0.3,6.96
1,04/19/2017 01:03:41 PM,04/19/2017 01:08:21 PM,1,0.4,1,N,231,87,1,5,0,0.5,1.15,0,0.3,6.95
1,04/25/2017 11:43:07 PM,04/26/2017 12:13:39 AM,1,19,2,N,132,90,1,52,0,0.5,16,0,0.3,68.8
2,05/01/2017 08:54:28 AM,05/01/2017 08:58:08 AM,1,0.61,1,N,142,239,1,4.5,0,0.5,1.06,0,0.3,6.36
2,04/04/2017 03:57:04 PM,04/04/2017 04:16:09 PM,1,4.77,1,N,88,234,1,18,0,0.5,3.76,0,0.3,22.56
1,12/15/2017 09:09:48 PM,12/15/2017 09:24:09 PM,1,1.6,1,N,211,186,1,10,0.5,0.5,2,0,0.3,13.3
1,02/14/2017 12:44:26 PM,02/14/2017 01:20:19 PM,1,5.7,1,N,140,223,2,26,0,0.5,0,0,0.3,26.8
1,02/15/2017 07:25:15 PM,02/15/2017 08:06:52 PM,1,9.8,1,N,79,227,1,32,1,0.5,8.45,0,0.3,42.25
2,08/07/2017 11:56:13 AM,08/07/2017 12:02:01 PM,1,1.03,1,N,263,263,1,6,0,0.5,1.36,0,0.3,8.16
2,01/02/2017 04:10:00 PM,01/02/2017 04:23:19 PM,2,1.96,1,N,41,239,2,9.5,0,0.5,0,0,0.3,10.3
1,09/04/2017 12:07:05 AM,09/04/2017 12:18:46 AM,1,3.7,1,N,41,50,2,12.5,0.5,0.5,0,0,0.3,13.8
2,11/05/2017 05:41:03 PM,11/05/2017 06:25:37 PM,1,19.52,2,N,87,132,1,52,0,0.5,10.56,0,0.3,63.36
1,02/14/2017 07:45:56 PM,02/14/2017 08:06:14 PM,2,2.1,1,N,90,148,1,13.5,1,0.5,3.05,0,0.3,18.35
1,06/20/2017 02:49:51 PM,06/20/2017 03:08:00 PM,1,4.8,1,N,262,113,1,17.5,0,0.5,3,0,0.3,21.3
1,07/21/2017 11:39:11 AM,07/21/2017 11:47:34 AM,1,1.1,1,N,237,236,1,7.5,0,0.5,1.65,0,0.3,9.95
2,04/27/2017 04:41:50 PM,04/27/2017 05:58:00 PM,5,9.55,1,N,138,246,1,46.5,1,0.5,6.68,5.76,0.3,60.74
2,04/28/2017 08:06:40 AM,04/28/2017 08:13:22 AM,3,1.49,1,N,79,137,2,7,0,0.5,0,0,0.3,7.8
1,03/09/2017 02:55:23 PM,03/09/2017 02:57:38 PM,3,0.3,1,N,237,237,2,3.5,0,0.5,0,0,0.3,4.3
2,06/24/2017 11:02:18 AM,06/24/2017 11:05:21 AM,1,0.56,1,N,41,41,2,4.5,0,0.5,0,0,0.3,5.3
1,03/07/2017 11:43:49 AM,03/07/2017 11:47:51 AM,2,0.7,1,N,238,239,2,5,0,0.5,0,0,0.3,5.8
1,04/29/2017 04:55:13 PM,04/29/2017 05:08:04 PM,1,2.8,1,N,162,75,2,12,0,0.5,0,0,0.3,12.8
2,07/03/2017 07:29:08 PM,07/03/2017 07:34:23 PM,1,0.65,1,N,100,164,1,5.5,1,0.5,1.46,0,0.3,8.76
1,12/10/2017 10:14:50 PM,12/10/2017 10:28:34 PM,2,1.2,1,N,142,230,1,9.5,0.5,0.5,2,0,0.3,12.8
1,02/11/2017 01:23:11 AM,02/11/2017 01:28:47 AM,1,0.8,1,N,164,107,1,5.5,0.5,0.5,1,0,0.3,7.8
1,03/17/2017 02:09:35 PM,03/17/2017 02:37:45 PM,1,1.4,1,N,234,230,2,17,0,0.5,0,0,0.3,17.8
1,06/25/2017 04:55:08 PM,06/25/2017 04:56:54 PM,1,0.5,1,N,238,239,1,4,0,0.5,1,0,0.3,5.8
1,01/30/2017 07:03:34 AM,01/30/2017 07:12:57 AM,1,1.3,1,N,74,41,2,8,0,0.5,0,0,0.3,8.8
1,02/11/2017 07:57:56 PM,02/11/2017 08:10:48 PM,1,1.2,1,N,170,68,1,9.5,0,0.5,2.55,0,0.3,12.85
1,05/06/2017 12:02:01 PM,05/06/2017 12:11:40 PM,2,1.6,1,N,162,140,1,8.5,0,0.5,2.75,0,0.3,12.05
1,09/06/2017 09:56:36 PM,09/06/2017 10:15:37 PM,1,5,1,N,114,112,1,18,0.5,0.5,2,0,0.3,21.3
2,06/25/2017 08:37:39 AM,06/25/2017 08:49:41 AM,1,3.96,1,N,88,79,2,14,0,0.5,0,0,0.3,14.8
2,04/21/2017 08:48:52 AM,04/21/2017 09:00:33 AM,5,1.66,1,N,137,162,1,9.5,0,0.5,1.2,0,0.3,11.5
1,12/04/2017 10:17:01 PM,12/04/2017 10:22:18 PM,1,1.1,1,N,186,246,1,6,0.5,0.5,1.45,0,0.3,8.75
2,02/26/2017 03:00:47 AM,02/26/2017 03:12:51 AM,3,4.48,1,N,170,209,2,15.5,0.5,0.5,0,0,0.3,16.8
1,02/16/2017 12:01:46 PM,02/16/2017 12:07:25 PM,1,0.6,1,N,229,170,2,5.5,0,0.5,0,0,0.3,6.3
1,09/16/2017 10:43:22 AM,09/16/2017 10:48:34 AM,1,0.8,1,N,90,68,1,5.5,0,0.5,1,0,0.3,7.3
1,06/05/2017 07:05:29 PM,06/05/2017 07:21:48 PM,2,2.2,1,N,45,107,1,12.5,1,0.5,2.85,0,0.3,17.15
2,10/04/2017 09:34:02 PM,10/04/2017 09:57:46 PM,1,5.42,1,N,234,49,1,20,0.5,0.5,4.26,0,0.3,25.56
